CODIGO INTERNO,N_STORY,Htip,SYSTEM,LBAYS (m),NBAYS,VbMax_W
503,12,3.2,2,6,5,0.139800541
504,12,3.2,2,6,3,0.147746344
505,14,3.2,2,6,5,0.119741015
507,16,3.2,2,6,5,0.101002043
508,16,3.2,2,6,3,0.107916166
509,20,3.2,2,6,5,0.079791538
510,20,3.2,2,6,3,0.081709556
512,30,3.2,2,6,3,0.055659274
522,6,3.2,2,6,5,0.268262802
524,6,3.2,2,6,3,0.288396214
526,7,3.2,2,6,5,0.263283627
528,7,3.2,2,6,3,0.255488923
530,8,3.2,2,6,5,0.244444225
532,8,3.2,2,6,3,0.276777227
534,10,3.2,2,6,5,0.176425394
536,10,3.2,2,6,3,0.198861013
537,12,3.2,2,6,5,0.140039899
538,12,3.2,2,6,3,0.153279262
540,14,3.2,2,6,5,0.120183308
542,14,3.2,2,6,3,0.132411568
543,16,3.2,2,6,5,0.102201582
544,16,3.2,2,6,3,0.11162651
548,20,3.2,2,6,3,0.083080577
552,30,3.2,2,6,3,0.056204615
566,2,3,1,4,3,0.137808896
568,2,3,1,8,3,0.153992808
570,2,3,1,4,4,0.204417082
572,2,3,1,6,4,0.204907221
577,2,3,1,4,5,0.145077491
578,2,3,1,6,5,0.063624088
579,3,3,1,4,3,0.150144424
581,3,3,1,8,3,0.102158278
583,3,3,1,4,4,0.150840028
585,3,3,1,6,4,0.185257637
590,3,3,1,4,5,0.145850953
591,3,3,1,6,5,0.077380795
592,4,3,1,4,3,0.10441921
594,4,3,1,8,3,0.078866129
596,4,3,1,4,4,0.099175073
598,4,3,1,6,4,0.12955406
603,4,3,1,4,5,0.101802731
604,4,3,1,6,5,0.041920802
605,5,3,1,4,3,0.088483507
607,5,3,1,8,3,0.068892914
609,5,3,1,4,4,0.080063727
611,5,3,1,6,4,0.093906301
616,5,3,1,4,5,0.086650114
617,5,3,1,6,5,0.101955894
618,6,3,1,4,3,0.068300558
620,6,3,1,8,3,0.108355621
622,6,3,1,4,4,0.05916548
624,6,3,1,6,4,0.0714034
629,6,3,1,4,5,0.073153403
630,6,3,1,6,5,0.068523412
631,7,3,1,4,3,0.071445469
633,7,3,1,8,3,0.098535857
635,7,3,1,4,4,0.044782357
637,7,3,1,6,4,0.056211552
642,7,3,1,4,5,0.057677067
643,7,3,1,6,5,0.055889696
644,8,3,1,4,3,0.048562579
646,8,3,1,8,3,0.083694443
648,8,3,1,4,4,0.035968724
650,8,3,1,6,4,0.046050666
655,8,3,1,4,5,0.05118735
656,8,3,1,6,5,0.050274835
657,10,3,1,4,3,0.032490667
