CODIGO INTERNO,# STOREY,Codigo,SYSTEM,Detailing,LBAYS (m),NBAYS,VbMax_W,SDR_at_0.8_Vb_W,Push_data
292,7,NSR98-10,F,IMF,4,3,0.149476785,3.660312447,F_NSR98-10_Intermedia_7P_3L4PushData
294.1,7,NSR98-10,F,IMF,8,3,0.190181429,3.082348561,F_NSR98-10_Intermedia_7P_3L8MPushData
295,8,NSR98-10,F,IMF,4,5,0.128932583,3.836795646,F_NSR98-10_Intermedia_8P_5L4PushData
297.1,8,NSR98-10,F,IMF,8,5,0.165169154,2.429393495,F_NSR98-10_Intermedia_8P_5L8MPushData
298,8,NSR98-10,F,IMF,4,3,0.130075505,4.299193206,F_NSR98-10_Intermedia_8P_3L4PushData
300.1,8,NSR98-10,F,IMF,8,3,0.168251808,2.877235822,F_NSR98-10_Intermedia_8P_3L8MPushData
301,10,NSR98-10,F,IMF,4,5,0.105246217,3.81954244,F_NSR98-10_Intermedia_10P_5L4PushData
303.1,10,NSR98-10,F,IMF,8,5,0.138180946,2.389599157,F_NSR98-10_Intermedia_10P_5L8MPushData
304,10,NSR98-10,F,IMF,4,3,0.106052084,3.961069968,F_NSR98-10_Intermedia_10P_3L4PushData
306.1,10,NSR98-10,F,IMF,8,3,0.14669235,3.392078684,F_NSR98-10_Intermedia_10P_3L8MPushData
331,2,NSR98-10,F,SMF,4,5,0.452620687,3.852059568,F_NSR98-10_Alta_2P_5L4PushData
333,2,NSR98-10,F,SMF,8,5,0.448897071,3.306796343,F_NSR98-10_Alta_2P_5L8PushData
334,2,NSR98-10,F,SMF,4,3,0.324992607,6.032387559,F_NSR98-10_Alta_2P_3L4PushData
336,2,NSR98-10,F,SMF,8,3,0.504154147,3.716678339,F_NSR98-10_Alta_2P_3L8PushData
337.1,3,NSR98-10,F,SMF,4,5,0.230501044,5.005976484,F_NSR98-10_Alta_3P_5L4MPushData
339,3,NSR98-10,F,SMF,8,5,0.333504333,3.139527797,F_NSR98-10_Alta_3P_5L8PushData
340,3,NSR98-10,F,SMF,4,3,0.265323794,4.861065596,F_NSR98-10_Alta_3P_3L4PushData
342.1,3,NSR98-10,F,SMF,8,3,0.355321689,3.686428594,F_NSR98-10_Alta_3P_3L8MPushData
343,4,NSR98-10,F,SMF,4,5,0.228319661,4.343920775,F_NSR98-10_Alta_4P_5L4PushData
345,4,NSR98-10,F,SMF,8,5,0.304265189,2.925691942,F_NSR98-10_Alta_4P_5L8PushData
346.1,4,NSR98-10,F,SMF,4,3,0.259593665,4.643447573,F_NSR98-10_Alta_4P_3L4MPushData
349,5,NSR98-10,F,SMF,4,5,0.201897093,4.258358449,F_NSR98-10_Alta_5P_5L4PushData
351,5,NSR98-10,F,SMF,8,5,0.295439988,3.318597814,F_NSR98-10_Alta_5P_5L8PushData
352,5,NSR98-10,F,SMF,4,3,0.20865266,5.01151309,F_NSR98-10_Alta_5P_3L4PushData
354.1,5,NSR98-10,F,SMF,8,3,0.295934007,3.874418389,F_NSR98-10_Alta_5P_3L8MPushData
355,6,NSR98-10,F,SMF,4,5,0.182687061,4.443492418,F_NSR98-10_Alta_6P_5L4PushData
357,6,NSR98-10,F,SMF,8,5,0.24359845,3.171842478,F_NSR98-10_Alta_6P_5L8PushData
358,6,NSR98-10,F,SMF,4,3,0.179266478,4.643808694,F_NSR98-10_Alta_6P_3L4PushData
360.1,6,NSR98-10,F,SMF,8,3,0.269628043,3.750062831,F_NSR98-10_Alta_6P_3L8MPushData
361,7,NSR98-10,F,SMF,4,5,0.153113898,4.296813356,F_NSR98-10_Alta_7P_5L4PushData
363.1,7,NSR98-10,F,SMF,8,5,0.219129338,3.561144559,F_NSR98-10_Alta_7P_5L8MPushData
364,7,NSR98-10,F,SMF,4,3,0.159721247,4.558966859,F_NSR98-10_Alta_7P_3L4PushData
366.1,7,NSR98-10,F,SMF,8,3,0.226714154,4.33623119,F_NSR98-10_Alta_7P_3L8MPushData
367,8,NSR98-10,F,SMF,4,5,0.133230927,4.131042112,F_NSR98-10_Alta_8P_5L4PushData
369.1,8,NSR98-10,F,SMF,8,5,0.193901981,3.382779917,F_NSR98-10_Alta_8P_5L8MPushData
370,8,NSR98-10,F,SMF,4,3,0.138888166,4.355348141,F_NSR98-10_Alta_8P_3L4PushData
372.1,8,NSR98-10,F,SMF,8,3,0.20594922,4.232137521,F_NSR98-10_Alta_8P_3L8MPushData
373,10,NSR98-10,F,SMF,4,5,0.111770916,4.984036452,F_NSR98-10_Alta_10P_5L4PushData
375.2,10,NSR98-10,F,SMF,8,5,0.166012512,3.059813234,F_NSR98-10_Alta_10P_5L8M2PushData
376,10,NSR98-10,F,SMF,4,3,0.115585541,5.175045191,F_NSR98-10_Alta_10P_3L4PushData
378.1,10,NSR98-10,F,SMF,8,3,0.173664596,3.814219461,F_NSR98-10_Alta_10P_3L8MPushData
473,6,NSR98-10,WF,OMF,6,5,0.216174071,2.342240627,WF_NSR98-10_Baja_6P_5L6PushData
474,6,NSR98-10,WF,OMF,6,3,0.21513219,2.769629053,WF_NSR98-10_Baja_6P_3L6PushData
475,7,NSR98-10,WF,OMF,6,5,0.202795711,2.458779122,WF_NSR98-10_Baja_7P_5L6PushData
476,7,NSR98-10,WF,OMF,6,3,0.194616983,2.447562908,WF_NSR98-10_Baja_7P_3L6PushData
477,8,NSR98-10,WF,OMF,6,5,0.194161188,3.130565255,WF_NSR98-10_Baja_8P_5L6PushData
478,8,NSR98-10,WF,OMF,6,3,0.197062913,2.308652848,WF_NSR98-10_Baja_8P_3L6PushData
479,10,NSR98-10,WF,OMF,6,5,0.16763901,2.177735439,WF_NSR98-10_Baja_10P_5L6PushData
480,10,NSR98-10,WF,OMF,6,3,0.172005635,2.307666163,WF_NSR98-10_Baja_10P_3L6PushData
481,12,NSR98-10,WF,OMF,6,5,0.137503138,2.000749168,WF_NSR98-10_Baja_12P_5L6PushData
482,12,NSR98-10,WF,OMF,6,3,0.14326821,2.496480707,WF_NSR98-10_Baja_12P_3L6PushData
484,14,NSR98-10,WF,OMF,6,3,0.121714324,3.03973845,WF_NSR98-10_Baja_14P_3L6PushData
485,16,NSR98-10,WF,OMF,6,5,0.101899109,2.071735337,WF_NSR98-10_Baja_16P_5L6PushData
486,16,NSR98-10,WF,OMF,6,3,0.104987086,2.671391292,WF_NSR98-10_Baja_16P_3L6PushData
488,20,NSR98-10,WF,OMF,6,3,0.085397607,3.2989204,WF_NSR98-10_Baja_20P_3L6PushData
495,6,NSR98-10,WF,IMF,6,5,0.202322163,2.201070195,WF_NSR98-10_Intermedia_6P_5L6PushData
496,6,NSR98-10,WF,IMF,6,3,0.231552388,2.665662975,WF_NSR98-10_Intermedia_6P_3L6PushData
497,7,NSR98-10,WF,IMF,6,5,0.199619891,2.181829572,WF_NSR98-10_Intermedia_7P_5L6PushData
498,7,NSR98-10,WF,IMF,6,3,0.213495122,3.416229614,WF_NSR98-10_Intermedia_7P_3L6PushData
499,8,NSR98-10,WF,IMF,6,5,0.1916143,2.146937654,WF_NSR98-10_Intermedia_8P_5L6PushData
501,10,NSR98-10,WF,IMF,6,5,0.168524347,3.75684103,WF_NSR98-10_Intermedia_10P_5L6PushData
507,16,NSR98-10,WF,IMF,6,5,0.100058082,3.634569116,WF_NSR98-10_Intermedia_16P_5L6PushData
522,6,NSR98-10,WF,SMF,6,5,0.27157195,2.022638958,WF_NSR98-10_Alta_6P_5L6PushData
524,6,NSR98-10,WF,SMF,6,3,0.28682505,2.640021196,WF_NSR98-10_Alta_6P_3L6PushData
526,7,NSR98-10,WF,SMF,6,5,0.265141315,2.178298473,WF_NSR98-10_Alta_7P_5L6PushData
528,7,NSR98-10,WF,SMF,6,3,0.248437806,3.247250139,WF_NSR98-10_Alta_7P_3L6PushData
530,8,NSR98-10,WF,SMF,6,5,0.241373828,3.064341072,WF_NSR98-10_Alta_8P_5L6PushData
532,8,NSR98-10,WF,SMF,6,3,0.269103093,3.755360214,WF_NSR98-10_Alta_8P_3L6PushData
534,10,NSR98-10,WF,SMF,6,5,0.172014216,3.268103989,WF_NSR98-10_Alta_10P_5L6PushData
536,10,NSR98-10,WF,SMF,6,3,0.193578991,3.152881046,WF_NSR98-10_Alta_10P_3L6PushData
543,16,NSR98-10,WF,SMF,6,5,0.100945711,4.200127127,WF_NSR98-10_Alta_16P_5L6PushData
566,2,PRE84,F,OMF,4,3,0.137808896,0.606511309,F_PRE84__2P_3L4PushData
568,2,PRE84,F,OMF,8,3,0.153992808,0.490792099,F_PRE84__2P_3L8PushData
570,2,PRE84,F,OMF,4,4,0.204417082,6.000021869,F_PRE84__2P_4L4PushData
572,2,PRE84,F,OMF,6,4,0.204907221,1.209367933,F_PRE84__2P_4L6PushData
577,2,PRE84,F,OMF,4,5,0.145077491,0.716018189,F_PRE84__2P_5L4PushData
578,2,PRE84,F,OMF,6,5,0.063624088,0.548486714,F_PRE84__2P_5L6PushData
579,3,PRE84,F,OMF,4,3,0.150144424,2.740590959,F_PRE84__3P_3L4PushData
581,3,PRE84,F,OMF,8,3,0.102158278,0.5152383,F_PRE84__3P_3L8PushData
583,3,PRE84,F,OMF,4,4,0.150840028,5.306844363,F_PRE84__3P_4L4PushData
585,3,PRE84,F,OMF,6,4,0.185257637,4.162382093,F_PRE84__3P_4L6PushData
590,3,PRE84,F,OMF,4,5,0.145850953,2.639217672,F_PRE84__3P_5L4PushData
591,3,PRE84,F,OMF,6,5,0.077380795,0.845067257,F_PRE84__3P_5L6PushData
594,4,PRE84,F,OMF,8,3,0.078866129,0.7986604,F_PRE84__4P_3L8PushData
596,4,PRE84,F,OMF,4,4,0.099175073,4.826059257,F_PRE84__4P_4L4PushData
598,4,PRE84,F,OMF,6,4,0.12955406,3.749552689,F_PRE84__4P_4L6PushData
603,4,PRE84,F,OMF,4,5,0.101802731,2.535852331,F_PRE84__4P_5L4PushData
604,4,PRE84,F,OMF,6,5,0.041920802,0.398870125,F_PRE84__4P_5L6PushData
605,5,PRE84,F,OMF,4,3,0.088483507,2.869434579,F_PRE84__5P_3L4PushData
